label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
rnd_92,0x19DB3AD0,EMPTY+GENUINE,24,16,8811,1658,148,4
rnd_93,0x614FF3D7,EMPTY+GENUINE,22,18,1977,570,103,2
rnd_94,0x47294739,EMPTY_UNSAT,23,17,11891,1320,88,0
rnd_95,0x7412B293,EMPTY+GENUINE,19,21,6596,1092,83,1
rnd_96,0xA2BC372F,EMPTY+GENUINE,26,14,4119,891,131,1
rnd_97,0xD58842DE,EMPTY+GENUINE,16,24,11573,1282,60,1
rnd_98,0x5D65A441,EMPTY+GENUINE,14,26,4352,161,38,2
rnd_99,0x29A3B2E9,EMPTY_UNSAT,8,32,439,100,13,0
rnd_100,0x5EC42E08,EMPTY+GENUINE,27,13,36918,3577,175,2
rnd_101,0x5AF30553,EMPTY_UNSAT,21,19,3664,622,74,0
rnd_102,0x35A240AE,EMPTY+GENUINE,23,17,19517,2211,130,4
rnd_103,0xAB9099A4,EMPTY_UNSAT,16,24,21970,2590,65,0
rnd_104,0x4458A885,EMPTY+GENUINE,19,21,4550,857,85,0
rnd_105,0xB3AA7EFE,EMPTY+GENUINE,31,9,63954,4556,228,2
rnd_106,0xEFC89849,EMPTY+GENUINE,21,19,15379,2809,109,0
rnd_107,0xAEFCFAD8,EMPTY+GENUINE,36,4,77745,7326,322,1
rnd_108,0xA5E5A5AB,EMPTY+GENUINE,31,9,62448,4927,226,2
rnd_109,0x12476F57,EMPTY_UNSAT,22,18,2682,603,123,0
rnd_110,0x9BF00273,EMPTY+GENUINE,30,10,13263,1914,186,8
rnd_111,0xA28DEFE3,EMPTY+GENUINE,24,16,7974,1526,145,2
rnd_112,0x2BCFBE01,EMPTY+GENUINE,18,22,21046,2454,79,2
rnd_113,0x88BD6407,EMPTY+GENUINE,20,20,10723,1161,72,2
rnd_114,0xBAA80DD4,EMPTY+GENUINE,21,19,10424,1481,89,2
rnd_115,0x3EABEDCB,EMPTY+GENUINE,18,22,5458,1000,74,5
rnd_116,0x29D4BEEF,EMPTY_UNSAT,11,29,20357,609,33,0
rnd_117,0x7656AF72,EMPTY+GENUINE,22,18,5592,946,98,4
rnd_118,0x6123FDF7,EMPTY+GENUINE,29,11,42052,1662,182,2
rnd_119,0x451B4CF3,EMPTY+GENUINE,23,17,2298,506,104,2
rnd_120,0xFD5166E6,EMPTY+GENUINE,24,16,29153,3347,109,0
rnd_121,0xECE66FA2,EMPTY+GENUINE,27,13,32863,4186,177,3
rnd_122,0xA3D70628,EMPTY_UNSAT,13,27,11131,1187,42,0
rnd_123,0xB02B61C4,EMPTY_UNSAT,10,30,466,104,16,0
rnd_124,0x8E944239,EMPTY+GENUINE,7,33,299,55,10,2
rnd_125,0x3838B326,EMPTY_UNSAT,23,17,16564,1961,131,0
rnd_126,0xAF42E12F,EMPTY+GENUINE,15,25,3222,254,39,0
rnd_127,0x5304317F,EMPTY_UNSAT,24,16,2488,570,113,0
rnd_128,0xD7C524A5,EMPTY+GENUINE,26,14,3293,686,140,5
rnd_129,0xC4B032CC,EMPTY+GENUINE,23,17,12452,1600,103,0
rnd_130,0xC6A7EE39,EMPTY_UNSAT,13,27,10814,1313,49,0
rnd_131,0x0E51F30D,EMPTY_UNSAT,19,21,9781,1120,79,0
rnd_132,0x3AA2E4F9,EMPTY+GENUINE,17,23,3834,698,60,3
rnd_133,0xD261A7AB,EMPTY_UNSAT,10,30,8240,773,21,0
rnd_134,0x0837B8A3,EMPTY+GENUINE,27,13,6190,1146,156,5
rnd_135,0xCE177B4E,EMPTY+GENUINE,15,25,155,76,24,4
rnd_136,0x50C187FC,EMPTY_UNSAT,13,27,3819,271,27,0
rnd_137,0x66B2BC5B,EMPTY_UNSAT,6,34,35,14,4,0
rnd_138,0x448AAA9E,EMPTY+GENUINE,22,18,15470,1527,120,2
rnd_139,0x10F1BC81,EMPTY+GENUINE,25,15,3181,923,135,5
rnd_140,0x3602F8AC,EMPTY+GENUINE,24,16,14257,2529,137,0
rnd_141,0xE9C349E0,EMPTY_UNSAT,20,20,26788,2839,89,0
rnd_142,0xF16287E4,EMPTY+GENUINE,17,23,1276,258,45,3
rnd_143,0x9132B63E,EMPTY_UNSAT,19,21,12817,1815,85,0
rnd_144,0xE059A0EE,EMPTY+GENUINE,24,16,39558,3523,150,1
rnd_145,0xB7C93ACF,EMPTY+GENUINE,17,23,16993,1750,59,2
rnd_146,0x508EBAD7,EMPTY+GENUINE,14,26,1539,283,32,3
rnd_147,0x366EB16F,EMPTY+GENUINE,20,20,3973,744,69,4
rnd_148,0xA7CAD415,EMPTY+GENUINE,16,24,1466,288,44,2
rnd_149,0x7FCD9EB1,EMPTY_UNSAT,15,25,5388,844,55,0
rnd_150,0x654821D0,EMPTY+GENUINE,18,22,5392,471,71,3
rnd_151,0xE27A984D,EMPTY+GENUINE,13,27,7804,729,34,1
rnd_152,0xEA1FCA65,EMPTY+GENUINE,19,21,18504,2629,95,0
rnd_153,0xA491F0B2,EMPTY+GENUINE,22,18,26844,3100,114,6
rnd_154,0x757750A9,EMPTY_UNSAT,22,18,28399,1976,116,0
rnd_155,0x24933B83,EMPTY_UNSAT,15,25,4592,419,46,0
rnd_156,0x43CF2FDE,EMPTY+GENUINE,21,19,26604,1461,94,2
rnd_157,0x23BED01D,EMPTY+GENUINE,16,24,9222,940,52,2
rnd_158,0x3F22FAF8,EMPTY+GENUINE,34,6,49294,5143,285,0
rnd_159,0xBEB79919,EMPTY+GENUINE,21,19,15182,2063,112,1
rnd_160,0x8FB5D27B,EMPTY_UNSAT,13,27,486,113,34,0
rnd_161,0x89FA6A68,EMPTY_UNSAT,18,22,15422,2163,71,0
rnd_162,0x434308BC,EMPTY_UNSAT,21,19,11292,1333,99,0
rnd_163,0xBF3C4C06,EMPTY_UNSAT,21,19,24701,3137,103,0
rnd_164,0x95A76D79,EMPTY+GENUINE,11,29,123,38,9,2
rnd_165,0x6DADD6C7,EMPTY_UNSAT,13,27,971,179,31,0
rnd_166,0xE5D7B875,EMPTY+GENUINE,16,24,20960,773,54,0
rnd_167,0x956269F0,EMPTY+GENUINE,9,31,7614,752,21,1
rnd_168,0x663F1C97,EMPTY_UNSAT,12,28,1184,276,41,0
rnd_169,0x5CABCC97,EMPTY+GENUINE,16,24,16519,1722,51,7
rnd_170,0x382567B8,EMPTY+GENUINE,7,33,84,25,9,0
rnd_171,0xFF50BDE4,EMPTY+GENUINE,28,12,41950,3522,198,0
rnd_172,0xFF5E9FF0,EMPTY_UNSAT,23,17,68692,4865,132,0
rnd_173,0x2369B584,EMPTY_UNSAT,11,29,510,167,22,0
rnd_174,0x827050A8,EMPTY+GENUINE,19,21,28967,1766,86,1
rnd_175,0x7E570DDF,EMPTY+GENUINE,24,16,21644,991,121,4
rnd_176,0x1745D6D8,EMPTY_UNSAT,15,25,2035,495,45,0
rnd_177,0xC17AF08A,EMPTY_UNSAT,18,22,30608,3475,88,0
rnd_178,0x0C0FD195,EMPTY+GENUINE,26,14,27511,1790,158,2
rnd_179,0xDC713D96,EMPTY_UNSAT,6,34,638,59,8,0
rnd_180,0x1C11F735,EMPTY+GENUINE,26,14,2041,598,150,0
rnd_181,0x27209BDF,EMPTY+GENUINE,24,16,5748,985,138,0
rnd_182,0xA0A04DC4,EMPTY+GENUINE,30,10,75040,5892,234,2
rnd_183,0x28F49481,EMPTY_UNSAT,12,28,7895,982,37,0
rnd_184,0xCAC5B68C,EMPTY+GENUINE,19,21,11500,1450,77,4
rnd_185,0xAE340454,EMPTY+GENUINE,35,5,49428,4644,307,2
rnd_186,0x6C12ACE8,EMPTY+GENUINE,17,23,19228,2516,69,0
rnd_187,0x98AE4334,EMPTY+GENUINE,12,28,7797,794,37,3
rnd_188,0x10435A10,EMPTY_UNSAT,22,18,24581,1468,117,0
rnd_189,0x62801C45,EMPTY+GENUINE,14,26,10018,712,50,2
rnd_190,0x61B1CD22,EMPTY+GENUINE,17,23,9928,1099,62,1
rnd_191,0x988C24C9,EMPTY_UNSAT,13,27,15612,1509,43,0
rnd_192,0xFF01CF99,EMPTY+GENUINE,31,9,97698,6034,237,0
rnd_193,0x77D21E02,EMPTY+GENUINE,22,18,10140,1852,116,3
rnd_194,0x877409A9,EMPTY+GENUINE,18,22,2197,263,39,3
rnd_195,0x405CACEC,EMPTY+GENUINE,29,11,43844,3696,217,0
rnd_196,0xF89897B9,EMPTY_UNSAT,16,24,12428,1687,59,0
rnd_197,0x8DA0365B,EMPTY+GENUINE,14,26,3116,518,34,2
rnd_198,0xDC5C0EED,EMPTY+GENUINE,24,16,31430,2075,136,4
rnd_199,0xF143262F,EMPTY+GENUINE,21,19,1229,372,75,1
