label,tt,result,n_covered,n_empty,total_domain,profiles,edges_partial,edges_incompat
lift_xor_16144,0xC0EF3F10,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_16144,0x3F100000,UNSAT,40,0,278670,11507,382,0
lift_16177,0x3F313F31,UNSAT,40,0,148635,6807,428,2
lift_xor_16177,0xC0CE3F31,EMPTY+GENUINE,30,10,30680,3354,198,2
lift_and_16177,0x3F310000,UNSAT,40,0,239430,10071,397,1
lift_16178,0x3F323F32,UNSAT,40,0,156191,7972,428,2
lift_xor_16178,0xC0CD3F32,EMPTY+GENUINE,30,10,31975,3541,198,2
lift_and_16178,0x3F320000,UNSAT,40,0,241582,10520,401,1
lift_16302,0x3FAE3FAE,UNSAT,40,0,167113,9456,424,4
lift_xor_16302,0xC0513FAE,EMPTY+GENUINE,28,12,14402,2124,158,8
lift_and_16302,0x3FAE0000,UNSAT,40,0,220436,11519,404,3
lift_16303,0x3FAF3FAF,UNSAT,40,0,237682,8384,398,4
lift_xor_16303,0xC0503FAF,EMPTY+GENUINE,30,10,53419,2932,203,4
lift_and_16303,0x3FAF0000,UNSAT,40,0,252403,12348,397,3
lift_16314,0x3FBA3FBA,UNSAT,40,0,167113,9456,424,4
lift_xor_16314,0xC0453FBA,EMPTY+GENUINE,28,12,14402,2124,158,8
lift_and_16314,0x3FBA0000,UNSAT,40,0,220436,11519,404,3
lift_16315,0x3FBB3FBB,UNSAT,40,0,237682,8384,398,4
lift_xor_16315,0xC0443FBB,EMPTY+GENUINE,30,10,53419,2932,203,4
lift_and_16315,0x3FBB0000,UNSAT,40,0,252403,12348,397,3
lift_16453,0x40454045,UNSAT,40,0,237682,8384,398,4
lift_xor_16453,0xBFBA4045,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_16453,0x40450000,UNSAT,40,0,366553,10943,332,3
lift_16465,0x40514051,UNSAT,40,0,237682,8384,398,4
lift_xor_16465,0xBFAE4051,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_16465,0x40510000,UNSAT,40,0,366553,10943,332,3
lift_16586,0x40CA40CA,UNSAT,40,0,168641,9346,438,0
lift_xor_16586,0xBF3540CA,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_16586,0x40CA0000,UNSAT,40,0,298660,10798,364,0
lift_16589,0x40CD40CD,UNSAT,40,0,151718,7090,425,4
lift_xor_16589,0xBF3240CD,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_16589,0x40CD0000,UNSAT,40,0,279083,9809,363,2
lift_16591,0x40CF40CF,UNSAT,40,0,148635,6807,428,2
lift_xor_16591,0xBF3040CF,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_16591,0x40CF0000,UNSAT,40,0,265480,9817,387,1
lift_16610,0x40E240E2,UNSAT,40,0,168641,9346,438,0
lift_xor_16610,0xBF1D40E2,EMPTY+GENUINE,27,13,48501,4943,161,0
lift_and_16610,0x40E20000,UNSAT,40,0,298660,10798,364,0
lift_16616,0x40E840E8,UNSAT,40,0,164029,9555,431,0
lift_xor_16616,0xBF1740E8,EMPTY+GENUINE,25,15,48065,4741,139,0
lift_and_16616,0x40E80000,UNSAT,40,0,296511,10537,364,0
lift_16620,0x40EC40EC,UNSAT,40,0,160153,8553,437,0
lift_xor_16620,0xBF1340EC,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_16620,0x40EC0000,UNSAT,40,0,281760,10415,381,0
lift_16622,0x40EE40EE,UNSAT,40,0,165266,8999,439,0
lift_xor_16622,0xBF1140EE,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_16622,0x40EE0000,UNSAT,40,0,271442,10864,389,0
lift_16623,0x40EF40EF,UNSAT,40,0,145569,6568,424,4
lift_xor_16623,0xBF1040EF,EMPTY+GENUINE,30,10,42103,4120,190,4
lift_and_16623,0x40EF0000,UNSAT,40,0,251291,9711,391,2
lift_16625,0x40F140F1,UNSAT,40,0,151718,7090,425,4
lift_xor_16625,0xBF0E40F1,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_16625,0x40F10000,UNSAT,40,0,279083,9809,363,2
lift_16627,0x40F340F3,UNSAT,40,0,148635,6807,428,2
lift_xor_16627,0xBF0C40F3,EMPTY+GENUINE,30,10,43726,4532,199,2
lift_and_16627,0x40F30000,UNSAT,40,0,265480,9817,387,1
lift_16632,0x40F840F8,UNSAT,40,0,160153,8553,437,0
lift_xor_16632,0xBF0740F8,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_16632,0x40F80000,UNSAT,40,0,281760,10415,381,0
lift_16634,0x40FA40FA,UNSAT,40,0,165266,8999,439,0
lift_xor_16634,0xBF0540FA,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_16634,0x40FA0000,UNSAT,40,0,271442,10864,389,0
lift_16635,0x40FB40FB,UNSAT,40,0,145569,6568,424,4
lift_xor_16635,0xBF0440FB,EMPTY+GENUINE,30,10,42103,4120,190,4
lift_and_16635,0x40FB0000,UNSAT,40,0,251291,9711,391,2
lift_17413,0x44054405,UNSAT,40,0,237682,8384,398,4
lift_xor_17413,0xBBFA4405,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_17413,0x44050000,UNSAT,40,0,366553,10943,332,3
lift_17488,0x44504450,UNSAT,40,0,246766,9439,408,0
lift_xor_17488,0xBBAF4450,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_17488,0x44500000,UNSAT,40,0,369616,11498,335,0
lift_17500,0x445C445C,UNSAT,40,0,151574,7092,437,0
lift_xor_17500,0xBBA3445C,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_17500,0x445C0000,UNSAT,40,0,278225,9754,352,0
lift_17605,0x44C544C5,UNSAT,40,0,151718,7090,425,4
lift_xor_17605,0xBB3A44C5,EMPTY+GENUINE,28,12,40354,4080,166,4
lift_and_17605,0x44C50000,UNSAT,40,0,279083,9809,363,2
lift_17614,0x44CE44CE,UNSAT,40,0,181198,9831,431,0
lift_xor_17614,0xBB3144CE,EMPTY+GENUINE,30,10,43726,4532,204,0
lift_and_17614,0x44CE0000,UNSAT,40,0,278670,11507,382,0
lift_17636,0x44E444E4,UNSAT,40,0,184305,10365,424,0
lift_xor_17636,0xBB1B44E4,EMPTY+GENUINE,29,11,48226,4879,178,0
lift_and_17636,0x44E40000,UNSAT,40,0,292890,11618,393,0
lift_17647,0x44EF44EF,UNSAT,40,0,148635,6807,428,2
lift_xor_17647,0xBB1044EF,EMPTY+GENUINE,30,10,30680,3354,198,2
lift_and_17647,0x44EF0000,UNSAT,40,0,239430,10071,397,1
lift_17648,0x44F044F0,UNSAT,40,0,184305,10365,424,0
lift_xor_17648,0xBB0F44F0,EMPTY+GENUINE,29,11,48226,4879,178,0
lift_and_17648,0x44F00000,UNSAT,40,0,292890,11618,393,0
lift_17662,0x44FE44FE,UNSAT,40,0,156191,7972,428,2
lift_xor_17662,0xBB0144FE,EMPTY+GENUINE,30,10,31975,3541,198,2
lift_and_17662,0x44FE0000,UNSAT,40,0,241582,10520,401,1
lift_17665,0x45014501,UNSAT,40,0,237682,8384,398,4
lift_xor_17665,0xBAFE4501,EMPTY+GENUINE,30,10,112126,8323,203,4
lift_and_17665,0x45010000,UNSAT,40,0,366553,10943,332,3
lift_17728,0x45404540,UNSAT,40,0,246766,9439,408,0
lift_xor_17728,0xBABF4540,EMPTY+GENUINE,29,11,108382,7761,199,0
lift_and_17728,0x45400000,UNSAT,40,0,369616,11498,335,0
lift_17740,0x454C454C,UNSAT,40,0,151574,7092,437,0
lift_xor_17740,0xBAB3454C,EMPTY+GENUINE,28,12,39474,4019,175,0
lift_and_17740,0x454C0000,UNSAT,40,0,278225,9754,352,0
